X,Y,id,occ_abs
-48.41008408,-27.17973401,1,1
-48.36650659,-27.27492874,2,1
-48.37432245,-27.27757473,3,1
-48.37852551,-27.27852627,4,1
-48.37857131,-27.27881123,5,1
-48.37845427,-27.27884685,6,1
-48.37347268,-27.28337048,7,1
-48.37078089,-27.2843322,8,1
-48.36988023,-27.28641846,9,1
-48.36805857,-27.29055028,10,1
-48.36797206,-27.29084033,11,1
-48.36759552,-27.29129829,12,1
-48.36755481,-27.29144076,13,1
-48.36717063,-27.2922193,14,1
-48.36682462,-27.29505356,15,1
-48.36099325,-27.29557258,16,1
-48.36018928,-27.29715,17,1
-48.3309803,-27.27096357,18,1
-48.33238471,-27.27298877,19,1
-48.36793263,-27.42454318,20,0
-48.36466584,-27.48726342,21,0
-48.35775573,-27.48491256,22,0
-48.49650483,-26.36881636,24,0
-48.49617917,-26.37243934,25,0
-48.49898433,-26.38602374,28,0
-48.49833723,-26.38157492,29,0
-48.49321097,-26.37054384,29,0
-48.58541564,-26.50501456,31,0
-48.56187013,-26.51369119,32,0
-48.49531935,-27.12040912,,0
-48.49426559,-27.10881778,,0
-48.49426559,-27.1009146,,0
-48.49689999,-27.13252733,,0
-48.48116434,-27.13646646,,0
-48.46862674,-27.20514019,,0
-48.40632292,-27.18376559,,0
-48.5441460,27.9373130,,0
-48.5284330,-27.8393560,,0
-48.5057257,-27.8403220,,0
-48.4316902,-27.8449868,,0
