"","lon_dd","lat_dd"
"1",-48.3679326,-27.4245432
"2",-48.3646658,-27.4872634
"3",-48.3577557,-27.4849126
"4",-48.4803655,-26.3696719
"5",-48.482845,-26.3868792
"6",-48.5840661,-26.5278189
"7",-48.5605206,-26.5364956
"8",-48.472927,-27.1215946
"9",-48.4718732,-27.1100033
"10",-48.4718732,-27.1021001
"11",-48.4745076,-27.1337128
"12",-48.458772,-27.1376519
"13",-48.4686267,-27.2051402
"14",-48.4063229,-27.1837656
"15",-48.4359796,-27.3910273
"16",-48.420305,-27.3828607
"17",-48.3866012,-27.6095503
"18",-48.544146,-27.937313
"19",-48.528433,-27.839356
"20",-48.5057257,-27.840322
"21",-48.4316902,-27.8449868
